"comuna","desertores","total","porcentaje_desertores"
SAN JOAQUIN,14,31,0.45161290322580644
ESTACION CENTRAL,52,140,0.37142857142857144
SAN RAMON,22,60,0.36666666666666664
LAMPA,22,65,0.3384615384615385
RECOLETA,60,184,0.32608695652173914
ISLA DE MAIPO,12,37,0.32432432432432434
CERRILLOS,22,70,0.3142857142857143
LA PINTANA,36,116,0.3103448275862069
CERRO NAVIA,13,42,0.30952380952380953
CONCHALI,17,56,0.30357142857142855
CURACAVI,17,57,0.2982456140350877
CALERA DE TANGO,17,57,0.2982456140350877
LA CISTERNA,58,197,0.29441624365482233
PADRE HURTADO,17,58,0.29310344827586204
QUINTA NORMAL,34,117,0.2905982905982906
PEÑALOLEN,84,293,0.28668941979522183
MACUL,34,121,0.2809917355371901
PUDAHUEL,40,143,0.27972027972027974
RENCA,32,118,0.2711864406779661
TALAGANTE,74,278,0.26618705035971224
LA GRANJA,21,80,0.2625
INDEPENDENCIA,32,123,0.2601626016260163
BUIN,46,179,0.2569832402234637
HUECHURABA,30,117,0.2564102564102564
ÑUÑOA,135,534,0.25280898876404495
LA REINA,83,331,0.25075528700906347
SAN BERNARDO,106,423,0.25059101654846333
PEÑAFLOR,18,72,0.25
SANTIAGO,423,1714,0.2467911318553092
COLINA,94,387,0.24289405684754523
QUILICURA,78,327,0.23853211009174313
LAS CONDES,220,924,0.23809523809523808
PROVIDENCIA,210,908,0.23127753303964757
PEDRO AGUIRRE CERDA,9,39,0.23076923076923078
PAINE,25,109,0.22935779816513763
MELIPILLA,47,209,0.22488038277511962
PUENTE ALTO,187,832,0.2247596153846154
EL BOSQUE,45,204,0.22058823529411764
LO BARNECHEA,95,442,0.2149321266968326
VITACURA,125,582,0.21477663230240548
LA FLORIDA,137,639,0.21439749608763695
MAIPU,208,980,0.21224489795918366
SAN MIGUEL,42,208,0.20192307692307693
