COMUNA,SUELDO
CERRO NAVIA,367978.4074
SAN JOAQUIN,374736.3596
ISLA DE MAIPO,307293.2316
SAN RAMON,337999.6923
LA PINTANA,317920.8978
PUDAHUEL,417861.8762
PEÑALOLEN,735425.1247
RENCA,397160.3923
HUECHURABA,418200.3096
LAMPA,587983.7364
EL BOSQUE,397154.4902
ESTACION CENTRAL,489566.0381
PEDRO AGUIRRE CERDA,421003.7883
PAINE,485354.9957
QUINTA NORMAL,407098.3091
INDEPENDENCIA,434393.7885
PADRE HURTADO,540259.5584
PEÑAFLOR,527186.1197
COLINA,519945.3811
RECOLETA,467896.4054
SAN BERNARDO,404797.5767
CERRILLOS,374592.9526
BUIN,403364.0478
PUENTE ALTO,439630.8585
SAN MIGUEL,665614.2676
TALAGANTE,510549.3208
LA CISTERNA,540970.8896
CALERA DE TANGO,427724.6071
PROVIDENCIA,1527670.168
SANTIAGO,729155.8107
ÑUÑOA,1150672.828
CURACAVI,332185.1069
LO ESPEJO,365481.7241
MELIPILLA,362303.9097
MAIPU,502413.0357
LA REINA,1105023.104
LA FLORIDA,529999.9314
QUILICURA,482717.8559
LAS CONDES,1681115.789
MACUL,469636.5063
CONCHALI,388093.3788
LA GRANJA,368194.2528
VITACURA,2022889.588
LO BARNECHEA,956572.1877
